"ID","Date","Switch Name","Average WPM","Benchmark Average","Adj. Mean WPM","Average Accuracy","Loudness","Price","Enjoyment","Weight","Sound","Tactility","Date Average","Date Accuracy"
5,"6/13/2025",Oil King,76.9,0.0,0.0,0.89,62.7,0.65,8,65,Low,No,76.9,0.89
12,"6/16/2025",Banana Milk,77.3,77.8,-0.5,0.9,69.5,0.53,8,68,High,No,77.4,0.9
6,"6/17/2025",Kiwi,84.2,81.9,2.3,0.91,69.9,0.65,8,67,High,Medium,83.8,0.91
8,"6/18/2025",Tealios V2,79.5,79.6,-0.1,0.9,62.8,1.2,6,67,Low,No,79.2,0.9
3,"6/20/2025",Higanbana,77.8,77.2,0.6,0.93,76.6,0.35,7,52,High,No,77.7,0.93
11,"6/21/2025",Brown,82.4,80.3,2.1,0.92,69.3,0.3,7,50,High,Low,82.0,0.92
4,"6/22/2025",Type R,84.8,82.1,2.7,0.92,70.9,0.5,9,60,High,Large,84.3,0.93
2,"6/22/2025",Xinhai,86.8,84.8,2.0,0.92,71.2,0.32,8,62,High,No,84.3,0.93
10,"6/25/2025",Melodic,86.7,83.3,3.4,0.93,70.0,0.6,8,60,High,Large,86.1,0.93
9,"6/26/2025",Sonja,83.9,81.0,2.9,0.92,70.9,0.35,9,52,Low,No,83.4,0.92
13,"6/27/2025",Tangerine,81.0,82.1,-1.1,0.91,68.0,0.7,6,67,Low,No,81.2,0.91
7,"6/28/2025",Holy Pandas,84.1,79.9,4.2,0.91,74.3,0.71,9,67,High,Large,83.7,0.93
1,"6/29/2025",EF Curry,83.4,89.7,-6.3,0.92,62.6,0.2,6,60,Low,No,84.4,0.92
