ID,WPM,Accuracy(%):,Date:
5,80,0.92,6/13/2025
5,84,0.89,6/13/2025
5,80,0.89,6/13/2025
5,91,0.94,6/13/2025
5,88,0.96,6/13/2025
5,76,0.89,6/13/2025
5,94,0.96,6/13/2025
5,95,0.94,6/13/2025
5,93,0.92,6/13/2025
5,91,0.95,6/13/2025
5,64,0.81,6/13/2025
5,76,0.89,6/13/2025
5,68,0.84,6/13/2025
5,74,0.87,6/13/2025
5,72,0.86,6/13/2025
5,72,0.87,6/13/2025
5,79,0.9,6/13/2025
5,84,0.94,6/13/2025
5,64,0.86,6/13/2025
5,67,0.92,6/13/2025
5,84,0.9,6/13/2025
5,68,0.81,6/13/2025
5,91,0.92,6/13/2025
5,74,0.86,6/13/2025
5,77,0.91,6/13/2025
5,80,0.89,6/13/2025
5,75,0.88,6/13/2025
5,82,0.92,6/13/2025
5,71,0.85,6/13/2025
5,78,0.92,6/13/2025
5,80,0.91,6/13/2025
5,84,0.95,6/13/2025
5,76,0.87,6/13/2025
5,86,0.93,6/13/2025
5,84,0.94,6/13/2025
5,78,0.89,6/13/2025
5,84,0.93,6/13/2025
5,76,0.9,6/13/2025
5,78,0.9,6/13/2025
5,57,0.81,6/13/2025
5,42,0.72,6/13/2025
5,78,0.89,6/13/2025
5,72,0.85,6/13/2025
5,64,0.84,6/13/2025
5,72,0.88,6/13/2025
5,70,0.86,6/13/2025
5,84,0.92,6/13/2025
5,74,0.9,6/13/2025
5,69,0.87,6/13/2025
5,66,0.87,6/13/2025
5,59,0.83,6/14/2025
5,67,0.87,6/14/2025
5,74,0.93,6/14/2025
5,72,0.91,6/14/2025
5,74,0.91,6/14/2025
5,71,0.91,6/14/2025
5,77,0.88,6/14/2025
5,64,0.88,6/14/2025
5,76,0.92,6/14/2025
5,79,0.92,6/14/2025
7,81,0.91,6/14/2025
7,76,0.9,6/14/2025
7,80,0.94,6/14/2025
7,97,0.88,6/14/2025
7,92,0.97,6/14/2025
7,98,0.96,6/14/2025
7,78,0.94,6/14/2025
7,91,0.95,6/14/2025
7,67,0.84,6/14/2025
7,76,0.87,6/14/2025
7,58,0.82,6/14/2025
7,89,0.94,6/14/2025
7,83,0.91,6/14/2025
7,70,0.88,6/14/2025
7,88,0.96,6/14/2025
7,80,0.89,6/14/2025
7,67,0.88,6/14/2025
7,62,0.85,6/14/2025
7,83,0.89,6/14/2025
7,68,0.85,6/14/2025
7,84,0.91,6/14/2025
7,81,0.93,6/14/2025
7,72,0.89,6/14/2025
7,93,0.97,6/14/2025
7,74,0.9,6/14/2025
7,74,0.88,6/14/2025
7,73,0.88,6/14/2025
7,75,0.89,6/14/2025
7,79,0.93,6/14/2025
7,74,0.86,6/14/2025
7,70,0.84,6/14/2025
7,64,0.84,6/14/2025
7,72,0.9,6/14/2025
7,70,0.87,6/14/2025
7,84,0.91,6/14/2025
7,88,0.95,6/14/2025
7,76,0.87,6/14/2025
7,69,0.87,6/14/2025
7,80,0.92,6/14/2025
7,87,0.93,6/14/2025
7,81,0.92,6/14/2025
7,76,0.89,6/14/2025
7,85,0.91,6/14/2025
7,73,0.87,6/14/2025
7,74,0.9,6/14/2025
7,78,0.92,6/14/2025
7,88,0.93,6/14/2025
7,90,0.95,6/14/2025
7,64,0.84,6/14/2025
7,76,0.84,6/14/2025
5,73,0.83,6/15/2025
5,64,0.82,6/15/2025
5,75,0.88,6/15/2025
5,78,0.91,6/15/2025
5,91,0.98,6/15/2025
5,75,0.88,6/15/2025
5,72,0.88,6/15/2025
5,73,0.88,6/15/2025
5,73,0.88,6/15/2025
5,62,0.87,6/15/2025
1,78,0.92,6/15/2025
1,66,0.89,6/15/2025
1,68,0.92,6/15/2025
1,75,0.89,6/15/2025
1,78,0.88,6/15/2025
1,69,0.9,6/15/2025
1,84,0.95,6/15/2025
1,78,0.89,6/15/2025
1,74,0.9,6/15/2025
1,84,0.95,6/15/2025
1,81,0.9,6/15/2025
1,68,0.82,6/15/2025
1,77,0.89,6/15/2025
1,90,0.94,6/15/2025
1,82,0.91,6/15/2025
1,82,0.89,6/15/2025
1,60,0.85,6/15/2025
1,89,0.93,6/15/2025
1,81,0.91,6/15/2025
1,80,0.93,6/15/2025
1,92,0.94,6/15/2025
1,94,0.93,6/15/2025
1,82,0.92,6/15/2025
1,83,0.92,6/15/2025
1,76,0.89,6/15/2025
