Switch ID:, Price (per switch),Company,Switch,Bottom Out (grams),Sound,Tactility?,Weight
1,0.2,Gateron,EF Curry,60,Low,No,Light
2,0.32,HMX ,Xinhai,62.5,High,No,Heavy
3,0.35,Keygeek,Higanbana,52,High,No,Light
4,0.5,Gateron,Type R,60,High,Large,Light
5,0.65,Gateron,Oil King,65,Low,No,Heavy
6,0.65,TKC,Kiwi,67,High,Medium,Heavy
7,0.71,Invyr ,Holy Pandas,67,High,Large,Heavy
8,1.2,Zeal,Tealios V2,67,Low,No,Heavy
9,0.35,HMX ,Sonja,52,Low,No,Light
10,0.6,Gateron,Melodic,60,High,Large,Light
11,0.3,Outemo,Brown,50,High,Low,Light
12,0.53,Dangkeebs,Banana Milk,68,High,No,Heavy
13,0.7,TKC,Tangerines,67,Low,No,Heavy
